ID	prediction	label
9841	b'310101010'	b'310101010'
8161	b'38101010'	b'38101010'
6188	b'65101010'	b'65101010'
12537	b'3551010'	b'3551010'
12724	b'33101010'	b'33101010'
848	b'810101010'	b'810101010'
316	b'52101010'	b'52101010'
7015	b'80101010'	b'80101010'
8321	b'45101010'	b'45101010'
1916	b'4521010'	b'62101010'
8094	b'210101010'	b'210101010'
363	b'49101010'	b'49101010'
1896	b'710101010'	b'710101010'
4810	b'22101010'	b'210101010'
597	b'30101010'	b'30101010'
11361	b'19101010'	b'19101010'
5185	b'13101010'	b'13101010'
8805	b'28101010'	b'28101010'
10252	b'3421010'	b'3421010'
11236	b'56101010'	b'56101010'
5541	b'22101010'	b'22101010'
10271	b'410101010'	b'410101010'
10397	b'77101010'	b'710101010'
5508	b'3091010'	b'3091010'
689	b'18101010'	b'18101010'
10220	b'3701010'	b'710101010'
6970	b'810101010'	b'810101010'
7548	b'40101010'	b'40101010'
2196	b'33101010'	b'33101010'
5097	b'45101010'	b'45101010'
1875	b'4511010'	b'4511010'
6334	b'1191010'	b'1191010'
2244	b'27101010'	b'24101010'
3557	b'20101010'	b'20101010'
9484	b'81101010'	b'81101010'
4850	b'29101010'	b'20101010'
6868	b'210101010'	b'210101010'
12540	b'48101010'	b'48101010'
3282	b'22101010'	b'22101010'
1099	b'310101010'	b'43101010'
777	b'75101010'	b'75101010'
7543	b'9901010'	b'9901010'
2015	b'11101010'	b'11101010'
8168	b'10101010'	b'10101010'
3915	b'2981010'	b'2981010'
7253	b'1201010'	b'1201010'
8983	b'910101010'	b'910101010'
1840	b'20101010'	b'20101010'
4082	b'79101010'	b'710101010'
6336	b'14101010'	b'14101010'
6331	b'32101010'	b'32101010'
9547	b'510101010'	b'510101010'
3907	b'51101010'	b'57101010'
9701	b'21101010'	b'21101010'
11313	b'19101010'	b'19101010'
2220	b'17101010'	b'17101010'
368	b'510101010'	b'510101010'
4340	b'510101010'	b'510101010'
953	b'94101010'	b'94101010'
12785	b'25101010'	b'25101010'
842	b'310101010'	b'310101010'
3833	b'12101010'	b'12101010'
3806	b'50101010'	b'50101010'
4497	b'22101010'	b'22101010'
2342	b'68101010'	b'68101010'
4163	b'12101010'	b'210101010'
4890	b'810101010'	b'810101010'
3375	b'20101010'	b'20101010'
13008	b'19101010'	b'19101010'
3312	b'40101010'	b'40101010'
2532	b'1801010'	b'3301010'
6595	b'610101010'	b'610101010'
9563	b'62101010'	b'62101010'
5699	b'24101010'	b'24101010'
6277	b'63101010'	b'53101010'
2964	b'32101010'	b'51101010'
11866	b'4361010'	b'36101010'
6603	b'710101010'	b'710101010'
11132	b'2561010'	b'2701010'
7445	b'65101010'	b'65101010'
271	b'28101010'	b'28101010'
9641	b'1891010'	b'184510'
2754	b'210101010'	b'210101010'
12661	b'24101010'	b'24101010'
735	b'23101010'	b'23101010'
6291	b'24101010'	b'24101010'
12431	b'74101010'	b'74101010'
1941	b'60101010'	b'60101010'
2626	b'910101010'	b'910101010'
9922	b'18101010'	b'18101010'
10592	b'41101010'	b'41101010'
4365	b'41101010'	b'41101010'
5965	b'15101010'	b'15101010'
7959	b'910101010'	b'910101010'
8972	b'89101010'	b'89101010'
6432	b'610101010'	b'610101010'
4431	b'710101010'	b'710101010'
6953	b'1351010'	b'1351010'
6445	b'29101010'	b'29101010'
5060	b'30101010'	b'30101010'
2247	b'18101010'	b'17101010'
4042	b'510101010'	b'610101010'
9644	b'2251010'	b'2251010'
8838	b'21101010'	b'21101010'
11213	b'57101010'	b'57101010'
3168	b'25101010'	b'210101010'
1798	b'84101010'	b'24101010'
8450	b'89101010'	b'19101010'
882	b'1581010'	b'1581010'
6213	b'710101010'	b'710101010'
11852	b'3631010'	b'3631010'
5155	b'18101010'	b'18101010'
3291	b'1511010'	b'1511010'
8917	b'63101010'	b'63101010'
5989	b'43101010'	b'43101010'
6064	b'910101010'	b'910101010'
8165	b'15101010'	b'14101010'
2911	b'32101010'	b'32101010'
1160	b'21101010'	b'21101010'
10798	b'87101010'	b'87101010'
9130	b'13101010'	b'19101010'
11256	b'29101010'	b'29101010'
8828	b'58101010'	b'59101010'
5140	b'15101010'	b'15101010'
6244	b'99101010'	b'99101010'
12045	b'710101010'	b'410101010'
3352	b'77101010'	b'77101010'
9659	b'1251010'	b'1751010'
12034	b'29101010'	b'910101010'
11797	b'1121010'	b'1121010'
2471	b'110101010'	b'410101010'
3024	b'63101010'	b'63101010'
6224	b'1461010'	b'1461010'
5049	b'510101010'	b'310101010'
7336	b'30101010'	b'30101010'
5470	b'48101010'	b'48101010'
5003	b'2601010'	b'2601010'
6027	b'24101010'	b'24101010'
10334	b'1701010'	b'1701010'
1403	b'1371010'	b'1371010'
9799	b'28101010'	b'28101010'
5498	b'810101010'	b'810101010'
5203	b'26101010'	b'26101010'
1196	b'710101010'	b'710101010'
6836	b'31101010'	b'31101010'
6778	b'55101010'	b'55101010'
2823	b'14101010'	b'1141010'
2630	b'2561010'	b'2561010'
2510	b'32101010'	b'32101010'
1013	b'27101010'	b'27101010'
3678	b'46101010'	b'46101010'
1401	b'1051010'	b'1051010'
8714	b'22101010'	b'22101010'
9508	b'51101010'	b'51101010'
10098	b'67101010'	b'67101010'
8711	b'17101010'	b'17101010'
11829	b'16101010'	b'16101010'
12932	b'42101010'	b'42101010'
5074	b'310101010'	b'310101010'
3523	b'210101010'	b'210101010'
10366	b'1381010'	b'1381010'
8223	b'210101010'	b'210101010'
7603	b'11101010'	b'11101010'
8385	b'23101010'	b'310101010'
7427	b'80101010'	b'80101010'
635	b'48101010'	b'48101010'
3673	b'25101010'	b'25101010'
12691	b'510101010'	b'510101010'
8940	b'610101010'	b'610101010'
805	b'710101010'	b'710101010'
10900	b'63101010'	b'63101010'
12324	b'17101010'	b'17101010'
385	b'24101010'	b'24101010'
11656	b'19101010'	b'19101010'
6960	b'39101010'	b'39101010'
1427	b'22101010'	b'22101010'
11823	b'21101010'	b'21101010'
7264	b'710101010'	b'710101010'
10195	b'31101010'	b'31101010'
598	b'32101010'	b'32101010'
3327	b'41101010'	b'11101010'
1586	b'74101010'	b'710101010'
9729	b'21101010'	b'21101010'
5088	b'14101010'	b'14101010'
8131	b'27101010'	b'27101010'
8549	b'310101010'	b'210101010'
2371	b'7551010'	b'7551010'
4902	b'74101010'	b'74101010'
10342	b'72101010'	b'72101010'
12703	b'62101010'	b'62101010'
11129	b'65101010'	b'810101010'
2278	b'23101010'	b'32101010'
7786	b'62101010'	b'62101010'
1311	b'1391010'	b'1391010'
3613	b'87101010'	b'87101010'
5176	b'10101010'	b'10101010'
3944	b'30101010'	b'30101010'
1442	b'109510'	b'109510'
2636	b'20101010'	b'20101010'
5520	b'14101010'	b'1141010'
9764	b'10101010'	b'010101010'
12802	b'43101010'	b'43101010'
1805	b'910101010'	b'910101010'
12281	b'310101010'	b'310101010'
5789	b'75101010'	b'75101010'
2989	b'45101010'	b'45101010'
7702	b'910101010'	b'910101010'
1046	b'88101010'	b'88101010'
11305	b'11101010'	b'11101010'
4196	b'610101010'	b'610101010'
7972	b'23101010'	b'23101010'
9353	b'48101010'	b'48101010'
2113	b'13101010'	b'13101010'
122	b'910101010'	b'910101010'
4405	b'20101010'	b'20101010'
3179	b'2891010'	b'2881010'
1613	b'610101010'	b'610101010'
6768	b'3181010'	b'3181010'
13028	b'910101010'	b'910101010'
11380	b'79101010'	b'19101010'
4413	b'3301010'	b'3301010'
5998	b'2091010'	b'2091010'
1194	b'89101010'	b'22101010'
9382	b'3081010'	b'3081010'
6342	b'510101010'	b'510101010'
10554	b'83101010'	b'83101010'
12957	b'710101010'	b'710101010'
7901	b'66101010'	b'66101010'
6093	b'10101010'	b'10101010'
1083	b'10101010'	b'10101010'
8795	b'510101010'	b'510101010'
12904	b'21101010'	b'21101010'
2452	b'59101010'	b'59101010'
4007	b'1111010'	b'15101010'
9476	b'29101010'	b'29101010'
12113	b'27101010'	b'27101010'
3412	b'1861010'	b'1861010'
6605	b'60101010'	b'60101010'
5536	b'21101010'	b'21101010'
2573	b'14101010'	b'14101010'
8344	b'42101010'	b'42101010'
8736	b'910101010'	b'910101010'
3508	b'210101010'	b'210101010'
11551	b'810101010'	b'810101010'
12178	b'2241010'	b'2241010'
6549	b'98101010'	b'98101010'
5917	b'1081010'	b'1081010'
3776	b'210101010'	b'210101010'
3516	b'12101010'	b'12101010'
8509	b'33101010'	b'110101010'
6682	b'1231010'	b'1231010'
7325	b'1571010'	b'1571010'
5829	b'162110'	b'7691010'
10449	b'17101010'	b'710101010'
11590	b'910101010'	b'910101010'
12138	b'710101010'	b'710101010'
9948	b'30101010'	b'30101010'
6294	b'2351010'	b'2351010'
916	b'310101010'	b'310101010'
7000	b'12101010'	b'12101010'
10244	b'4251010'	b'4251010'
5988	b'810101010'	b'810101010'
6182	b'2461010'	b'2461010'
11110	b'55101010'	b'15101010'
8733	b'15101010'	b'15101010'
4371	b'19101010'	b'79101010'
1183	b'310101010'	b'310101010'
8865	b'81101010'	b'81101010'
9170	b'610101010'	b'610101010'
8955	b'710101010'	b'710101010'
4940	b'57101010'	b'57101010'
12167	b'11101010'	b'13101010'
3716	b'54101010'	b'54101010'
4479	b'22101010'	b'22101010'
10770	b'54101010'	b'54101010'
6512	b'19101010'	b'910101010'
6884	b'62101010'	b'62101010'
5896	b'97101010'	b'97101010'
5020	b'16101010'	b'16101010'
8661	b'70101010'	b'70101010'
4290	b'22101010'	b'22101010'
5646	b'55101010'	b'55101010'
6493	b'97101010'	b'97101010'
5104	b'1191010'	b'1191010'
8050	b'1041010'	b'1041010'
4402	b'710101010'	b'710101010'
1320	b'110101010'	b'110101010'
2139	b'1051010'	b'1051010'
2545	b'84101010'	b'84101010'
5291	b'110101010'	b'110101010'
8300	b'16101010'	b'16101010'
2209	b'43101010'	b'410101010'
10591	b'910101010'	b'910101010'
5688	b'1101010'	b'1101010'
11792	b'20101010'	b'20101010'
3520	b'72101010'	b'72101010'
7575	b'64101010'	b'64101010'
4701	b'13101010'	b'13101010'
5422	b'410101010'	b'410101010'
6388	b'410101010'	b'410101010'
4149	b'410101010'	b'410101010'
5471	b'310101010'	b'1131010'
1592	b'410101010'	b'210101010'
5778	b'1821010'	b'1821010'
1286	b'2871010'	b'2871010'
2002	b'81101010'	b'81101010'
5816	b'60101010'	b'60101010'
790	b'1801010'	b'1801010'
4567	b'30101010'	b'30101010'
10282	b'210101010'	b'210101010'
2258	b'1581010'	b'1581010'
11044	b'35101010'	b'35101010'
12849	b'23101010'	b'23101010'
3634	b'210101010'	b'210101010'
6496	b'2311010'	b'2311010'
4614	b'14101010'	b'14101010'
5733	b'77101010'	b'77101010'
7544	b'210101010'	b'210101010'
6162	b'40101010'	b'46101010'
9797	b'73101010'	b'73101010'
11325	b'310101010'	b'310101010'
7620	b'23101010'	b'23101010'
11641	b'1371010'	b'1371010'
8926	b'32101010'	b'33101010'
3492	b'1781010'	b'1781010'
1467	b'11101010'	b'710101010'
9879	b'710101010'	b'710101010'
5970	b'20101010'	b'20101010'
9097	b'510101010'	b'510101010'
3624	b'29101010'	b'29101010'
1430	b'28101010'	b'28101010'
502	b'1101010'	b'1101010'
5826	b'82101010'	b'82101010'
1995	b'11101010'	b'110101010'
9969	b'510101010'	b'510101010'
6738	b'2421010'	b'2421010'
5070	b'21101010'	b'21101010'
496	b'1071010'	b'1071010'
4072	b'27101010'	b'27101010'
2554	b'2861010'	b'2861010'
7955	b'69101010'	b'69101010'
11174	b'210101010'	b'210101010'
12121	b'37101010'	b'37101010'
3111	b'310101010'	b'310101010'
5321	b'210101010'	b'210101010'
9009	b'40101010'	b'40101010'
9395	b'48101010'	b'18101010'
2820	b'27101010'	b'27101010'
1839	b'110101010'	b'110101010'
7068	b'30101010'	b'30101010'
7475	b'410101010'	b'410101010'
6202	b'22101010'	b'22101010'
5328	b'810101010'	b'810101010'
6938	b'35101010'	b'35101010'
12331	b'2541010'	b'2541010'
5228	b'410101010'	b'410101010'
3061	b'67101010'	b'67101010'
2819	b'410101010'	b'410101010'
12902	b'510101010'	b'510101010'
1342	b'1131010'	b'1131010'
6919	b'4041010'	b'4041010'
4355	b'53101010'	b'53101010'
12194	b'39101010'	b'39101010'
5974	b'510101010'	b'710101010'
5360	b'52101010'	b'52101010'
489	b'53101010'	b'53101010'
12032	b'310101010'	b'310101010'
3961	b'83101010'	b'83101010'
9456	b'52101010'	b'52101010'
5981	b'61101010'	b'110101010'
7645	b'50101010'	b'50101010'
2298	b'33101010'	b'33101010'
2280	b'610101010'	b'610101010'
3812	b'16101010'	b'16101010'
